Наименование;Группа видов номеналтуры;Папка видов номенклатуры;Вид номенклатуры;фильтр;Единица хранения;Артикул;Производитель;Поставщик;Товарная категория;Субкатегория;Бренд;Линейка;Сублинейка;Канал;Ценовая группа;Единица измерения веса;Вес;Единица измерения объема;Объем;Единица измерения площади;Площадь;Единица измерения длины;Длина;Ширина;Высота;Импортный товар (учет по ГТД);Единица измерения срока годности;Срок годности;Использовать упаковки;Набор упаковок;Код ТНВЭД;База;Литражи;Цвет (готовый / колеровка);Цвет (если готовый);Степень блеска;Эффект;Стиль;Применение (что красить);Применение (материал);Расход применения, литр/кг на м2;Класс износостойкости;Материал ORAC;Текстовое описание;Ссылка на фото;Высота ворса;Материал ворса;Толщина ворса;Материал ручки;Рабочая ширина;Диаметр ядра;Совместимость/механизм крепления;Тип крепления/диаметр бюгеля/резьбы;Посадка (посадочное место);Тип кромки/лезвия;Покрытие рабочей части;Материал плюша (для валиков);Состав щетины/филамента;Клей/степень адгезии;Адгезия/сила клея (метрика);Время безопасного снятия (нед.);УФ-стойкость;Температурная стойкость;Прозрачность/цветопередача;Прочность на разрыв;Растяжимость/удлинение;Многоразовость;Влагостойкость (да/нет);Совместимость со средой;Сертификация/стандарт;Условия эксплуатации/тип поверхности
C240F карниз гибкий полиуретан;Товары;Декор;Карнизы;1;Шт;C240F;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Flex;Orac;;;Décor Plus;Премиум;Килограмм;14,78;;;;;см;200;;;Да;;;;;;;;;;;;классический,;На стену ;;;;гибкий материал ;Гибкая версия C240. Простой полый карниз, который идеально подходит для деликатной и аккуратной отделки стыков между стенами и потолком. Круглые стены или изогнутые поверхности не представляют никакой трудности для технологии Flex. Примечания: Используйте DecoFix Pro или DecoFix Power. Для крепления к стене должны использоваться шурупы. Flex Radius: R min = 270 cm;https://drive.google.com/file/d/1ly4DgiCTUacZGHYYTVh1CpOnj2YlyFl7/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C250 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C250;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;5,507;;;;;см;200;;;Да;;;;;;;;;;;;классический,;На стену ;;;;Полиуретан;Этот традиционный симметричный карниз — самый миниатюрный в нашем ассортименте. Тем не менее он прекрасно подходит для отделки любого помещения.;https://drive.google.com/file/d/1Mx8PLvGVsTcVkJnlmJjjBXRbX6YKnDFq/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C250F карниз гибкий полиуретан;Товары;Декор;Карнизы;1;Шт;C250F;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Flex;Orac;;;Décor Plus;Премиум;Килограмм;0,118;;;;;см;200;;;Да;;;;;;;;;;;;классический,;На стену ;;;;гибкий материал ;Гибкая версия C250. Этот традиционный симметричный карниз — самый миниатюрный в нашем ассортименте. Круглые стены или изогнутые поверхности не представляют никакой трудности для технологии Flex. Примечания: Используйте DecoFix Pro или DecoFix Power. Для крепления к стене должны использоваться шурупы. Flex Radius: R min = 70 cm;https://drive.google.com/file/d/1T1n46a0Oqs3tFa3DGA1H_q1GCQoiPBFi/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C260 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C260;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;8,332;;;;;см;200;;;Да;;;;;;;;;;;;классический,;На стену ;;;;Полиуретан;Простой закругленный карниз. Простота модели позволяет использовать ее в интерьере, выполненном в любом стиле.;https://drive.google.com/file/d/1iXWIFnI5DYafru0yI3EjD5O5N_C8yEjA/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C301 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C301;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;9,18;;;;;см;200;;;Да;;;;;;;;;;;;Классический,орнаментальный;На стену ;;;;Полиуретан;Классический карниз с деталями орнамента. Этот профиль лучше всего подходит для больших помещений.;https://drive.google.com/file/d/1wP02VQscI4qMb8JCY_NyEY9uLzoUapOb/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C303 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C303;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;8,52;;;;;см;200;;;Да;;;;;;;;;;;;Классический,орнаментальный;На стену ;;;;Полиуретан;Классический карниз с великолепным цветочным и листовым узором. Этот высокий карниз придаст элегантность вашему интерьеру.;https://drive.google.com/file/d/1dH_25S62dAAedPyMEWCSzcir5-6EYdw0/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C304 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C304;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;8,62;;;;;см;200;;;Да;;;;;;;;;;;;Классический,современный;На стену ;;;;Полиуретан;Традиционный карниз с ребристым рисунком. Этот профиль, представленный как в классическом, так и в современном исполнении, добавит шарма вашему интерьеру.;https://drive.google.com/file/d/199PPnS0X3sj7rCnkWSydaHJnVcs0LsUL/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C305 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C305;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;8,66;;;;;см;200;;;Да;;;;;;;;;;;;классический,;На стену ;;;;Полиуретан;Идеальный карниз как основа уникального и изысканного интерьера. Комбинируйте этот профиль с моделями C211 или C213.;https://drive.google.com/file/d/1zC937KoHwKTohHWQzN6yQ_cuEsOULh9x/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C307 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C307;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;19,18;;;;;см;200;;;Да;;;;;;;;;;;;Классический,орнаментальный;На стену ;;;;Полиуретан;Эта классическая модель — одна из наиболее крупных в нашем ассортименте. Скомбинируйте этот профиль с подходящим декоративным блоком C307A, чтобы ваш интерьер приобрел вид царских апартаментов. Примечания: Используйте экстра сильный DecoFix Power для крепления к стене для массивных карнизов для штор.;https://drive.google.com/file/d/1nI4Uka7jxLh5psLUQ13uJd342UcxAlIT/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C307A кронштейн полиуретан;Товары;Декор;Карнизы;1;Шт;C307A;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;2,07;;;;;см;7,5;;;Да;;;;;;;;;;;;Классический,орнаментальный;На стену ;;;;Полиуретан;Небольшой декоративный блок в качестве завершающего акцентного элемента в дополнение к классической модели C307. Примечание: используйте для крепления клей DecoFix Power.;https://drive.google.com/file/d/1r32-LDv0bCobyx6ZQwno6RGwZix8VxXk/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
